Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,100Ω,R_0402,172.977647,-70.571696,-45.0,top
R10,2.7Ω,R_0805,198.21,-63.8,180.0,bottom
R11,19.1kΩ,R_0402,166.399999,-89.8,0.0,top
R12,2mΩ,R_2512_6332Metric,184.2,-57.2,0.0,bottom
R13,2.7Ω,R_0805,198.3,-57.2,180.0,bottom
R14,120Ω,R_0402,137.082309,-55.686301,0.0,bottom
R15,56Ω,R_0402,147.894839,-55.242422,90.0,bottom
R16,56Ω,R_0402,149.714951,-55.248842,90.0,bottom
R17,4.7kΩ,R_0402,183.65929,-46.059291,180.0,bottom
R18,383kΩ,R_0805,189.0,-44.59,90.0,top
R19,9.76kΩ,R_0805,176.5,-42.75,-90.0,top
R2,100Ω,R_0402,173.588583,-69.950838,-45.0,top
R20,56Ω,R_0402,152.140909,-55.989021,90.0,bottom
R21,4.7kΩ,R_0402,137.224999,-42.535001,-90.0,top
R22,10kΩ,R_0402,169.279998,-58.9,-90.0,top
R23,100kΩ,R_0402,149.81,-79.799999,-90.0,top
R24,10kΩ,R_0402,160.375003,-50.699999,-90.0,top
R25,10Ω,R_0402,187.067445,-53.729111,180.0,bottom
R26,10Ω,R_0402,187.70544,-65.903718,180.0,bottom
R27,10Ω,R_0402,187.126018,-78.095926,180.0,bottom
R28,10Ω,R_0402,187.062834,-54.6,180.0,bottom
R29,5.1kΩ,R_0402,136.39,-84.65,0.0,top
R3,330Ω,R_0402,169.6,-53.4,180.0,top
R30,5.1kΩ,R_0402,136.39,-81.45,0.0,top
R31,10Ω,R_0402,187.689148,-67.126221,180.0,bottom
R32,10Ω,R_0402,187.125,-79.0,180.0,bottom
R33,383kΩ,R_0402,187.4,-42.6,0.0,bottom
R34,1kΩ,R_0402,149.087391,-50.932396,90.0,bottom
R35,383kΩ,R_0402,187.4,-43.5,0.0,bottom
R36,1kΩ,R_0402,147.246245,-50.932448,90.0,bottom
R37,383kΩ,R_0402,187.399999,-44.4,0.0,bottom
R38,9.76kΩ,R_0402,174.3,-44.0,90.0,bottom
R39,9.76kΩ,R_0402,179.4,-42.999999,90.0,bottom
R4,330Ω,R_0402,170.179998,-58.9,-90.0,top
R40,9.76kΩ,R_0402,182.1,-42.25,90.0,bottom
R41,1kΩ,R_0402,145.420402,-50.922143,90.0,bottom
R42,100Ω,R_0402,175.0,-67.063586,0.0,top
R43,10kΩ,R_0402,167.0,-57.5,-90.0,top
R44,100Ω,R_0402,175.0,-67.969028,0.0,top
R45,100Ω,R_0402,174.761541,-61.662723,45.0,top
R46,100Ω,R_0402,174.153553,-61.046447,45.0,top
R47,100Ω,R_0402,152.675003,-49.1,90.0,bottom
R48,100Ω,R_0402,150.217986,-43.35291,-90.0,top
R49,100Ω,R_0402,151.0,-49.100001,90.0,bottom
R5,330Ω,R_0402,151.1,-73.400001,-90.0,top
R50,10kΩ,R_0402,141.75,-45.343462,90.0,bottom
R51,100kΩ,R_0402,149.16,-83.4,0.0,top
R52,20kΩ,R_0402,141.75,-43.5,90.0,bottom
R53,10kΩ,R_0402,143.5,-46.25,90.0,bottom
R54,20kΩ,R_0402,143.506045,-44.372508,90.0,bottom
R55,1kΩ,R_0402,162.095641,-58.766422,270.0,bottom
R56,100Ω,R_0402,143.175,-50.425,0.0,top
R6,100kΩ,R_0402,165.45,-88.9775,0.0,top
R7,2.7Ω,R_0805,198.5,-80.4,180.0,bottom
R8,2mΩ,R_2512_6332Metric,184.2,-81.4,0.0,bottom
R9,2mΩ,R_2512_6332Metric,184.7625,-69.6,0.0,bottom
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,163.875003,-46.2,180.0,top
S2,"Tactile Button, 160gf",SW_TS-1088-AR02016,163.874999,-49.7,180.0,top
TH1,Thermistor_NTC,R_0603,185.920001,-46.1,180.0,bottom
TH2,Thermistor_NTC,R_0603,137.2,-44.82,-90.0,top
TP1,TestPoint,TestPoint_Pad_1.5x1.5mm,192.2,-87.6,0.0,bottom
TP10,TestPoint,TestPoint_Pad_1.5x1.5mm,178.6,-62.65,0.0,bottom
TP11,TestPoint,TestPoint_Pad_1.5x1.5mm,178.45,-74.75,0.0,bottom
TP12,TestPoint,TestPoint_Pad_1.5x1.5mm,154.0,-80.25,0.0,top
TP13,TestPoint,TestPoint_Pad_1.5x1.5mm,158.25,-75.0,0.0,top
TP6,TestPoint,TestPoint_Pad_1.5x1.5mm,193.65,-62.75,0.0,bottom
TP7,TestPoint,TestPoint_Pad_1.5x1.5mm,193.8,-50.7,0.0,bottom
TP8,TestPoint,TestPoint_Pad_1.5x1.5mm,194.05,-74.95,0.0,bottom
TP9,TestPoint,TestPoint_Pad_1.5x1.5mm,178.45,-50.65,0.0,bottom
U1,LMR51635YDDCR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,165.45,-86.8,90.0,top
U2,MA730,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,165.0,-68.5,0.0,bottom
U20,USBLC6-2P6,SOT-666,138.49,-82.75,90.0,top
U3,TPD1E05U06DYA,D_SOD-523,173.31026,-42.573744,-90.0,top
U4,DRV8353SRTAR,WQFN-40_L6.0-W6.0-P0.50-TL-EP4.5,169.6,-65.2,90.0,top
U5,LM66200DRLR,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,149.16,-81.75,-90.0,top
U6,AP2112K-3.3,SOT-23-5,153.05,-76.9975,0.0,top
U7,STM32G474RETx,LQFP-64_10x10mm_P0.5mm,151.9,-52.2,-90.0,top
U8,TCAN1462VDRBRQ1,DFN-8_L3.0-W3.0-P0.65-TL-EP2.4,134.67,-50.75,270.0,bottom
X1,X322524MOB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,153.600003,-43.350001,0.0,top
